"fecha"	"cnt"
"2012-03-28"	"38"
"2012-03-29"	"22"
"2012-03-30"	"36"
"2012-03-31"	"27"
"2012-04-01"	"71"
"2012-04-02"	"41"
"2012-04-03"	"30"
"2012-04-04"	"30"
"2012-04-05"	"27"
"2012-04-06"	"22"
"2012-04-07"	"20"
"2012-04-08"	"16"
"2012-04-09"	"35"
"2012-04-10"	"39"
"2012-04-11"	"26"
"2012-04-12"	"27"
"2012-04-13"	"26"
"2012-04-14"	"36"
"2012-04-15"	"34"
"2012-04-16"	"28"
"2012-04-17"	"28"
"2012-04-18"	"32"
"2012-04-19"	"26"
"2012-04-20"	"33"
"2012-04-21"	"23"
"2012-04-22"	"43"
"2012-04-23"	"35"
"2012-04-24"	"30"
"2012-04-25"	"35"
"2012-04-26"	"29"
"2012-04-27"	"33"
"2012-04-28"	"29"
"2012-04-29"	"30"
"2012-04-30"	"39"
"2012-05-01"	"66"
"2012-05-02"	"36"
"2012-05-03"	"34"
"2012-05-04"	"33"
"2012-05-05"	"41"
"2012-05-06"	"35"
"2012-05-07"	"46"
"2012-05-08"	"32"
"2012-05-09"	"39"
"2012-05-10"	"40"
"2012-05-11"	"21"
"2012-05-12"	"38"
"2012-05-13"	"37"
"2012-05-14"	"37"
"2012-05-15"	"43"
"2012-05-16"	"31"
"2012-05-17"	"26"
"2012-05-18"	"39"
"2012-05-19"	"20"
"2012-05-20"	"32"
"2012-05-21"	"27"
"2012-05-22"	"32"
"2012-05-23"	"30"
"2012-05-24"	"33"
"2012-05-25"	"28"
"2012-05-26"	"41"
"2012-05-27"	"34"
"2012-05-28"	"30"
"2012-05-29"	"26"
"2012-05-30"	"25"
"2012-05-31"	"30"
"2012-06-01"	"74"
"2012-06-02"	"34"
"2012-06-03"	"37"
"2012-06-04"	"34"
"2012-06-05"	"32"
"2012-06-06"	"37"
"2012-06-07"	"31"
"2012-06-08"	"38"
"2012-06-09"	"38"
"2012-06-10"	"31"
"2012-06-11"	"30"
"2012-06-12"	"46"
"2012-06-13"	"39"
"2012-06-14"	"46"
"2012-06-15"	"48"
"2012-06-16"	"37"
"2012-06-17"	"41"
"2012-06-18"	"28"
"2012-06-19"	"24"
"2012-06-20"	"39"
"2012-06-21"	"35"
"2012-06-22"	"21"
"2012-06-23"	"31"
"2012-06-24"	"35"
"2012-06-25"	"23"
"2012-06-26"	"21"
"2012-06-27"	"25"
"2012-06-28"	"27"
"2012-06-29"	"25"
"2012-06-30"	"18"
"2012-07-01"	"53"
"2012-07-02"	"26"
"2012-07-03"	"27"
"2012-07-04"	"23"
"2012-07-05"	"26"
"2012-07-06"	"30"
"2012-07-07"	"33"
"2012-07-08"	"24"
"2012-07-09"	"36"
"2012-07-10"	"27"
"2012-07-11"	"24"
"2012-07-12"	"38"
"2012-07-13"	"28"
"2012-07-14"	"30"
"2012-07-15"	"36"
"2012-07-16"	"33"
"2012-07-17"	"30"
"2012-07-18"	"40"
"2012-07-19"	"20"
"2012-07-20"	"25"
"2012-07-21"	"29"
"2012-07-22"	"35"
"2012-07-23"	"41"
"2012-07-24"	"33"
"2012-07-25"	"22"
"2012-07-26"	"32"
"2012-07-27"	"27"
"2012-07-28"	"19"
"2012-07-29"	"29"
"2012-07-30"	"29"
"2012-07-31"	"24"
"2012-08-01"	"62"
"2012-08-02"	"31"
"2012-08-03"	"38"
"2012-08-04"	"18"
"2012-08-05"	"38"
"2012-08-06"	"36"
"2012-08-07"	"33"
"2012-08-08"	"39"
"2012-08-09"	"27"
"2012-08-10"	"35"
"2012-08-11"	"18"
"2012-08-12"	"39"
"2012-08-13"	"36"
"2012-08-14"	"30"
"2012-08-15"	"41"
"2012-08-16"	"31"
"2012-08-17"	"43"
"2012-08-18"	"26"
"2012-08-19"	"35"
"2012-08-20"	"36"
"2012-08-21"	"41"
"2012-08-22"	"30"
"2012-08-23"	"28"
"2012-08-24"	"37"
"2012-08-25"	"25"
"2012-08-26"	"29"
"2012-08-27"	"33"
"2012-08-28"	"24"
"2012-08-29"	"30"
"2012-08-30"	"32"
"2012-08-31"	"24"
"2012-09-01"	"41"
"2012-09-02"	"39"
"2012-09-03"	"28"
"2012-09-04"	"33"
"2012-09-05"	"34"
"2012-09-06"	"25"
"2012-09-07"	"35"
"2012-09-08"	"33"
"2012-09-09"	"48"
"2012-09-10"	"34"
"2012-09-11"	"32"
"2012-09-12"	"29"
"2012-09-13"	"37"
"2012-09-14"	"26"
"2012-09-15"	"32"
"2012-09-16"	"41"
"2012-09-17"	"40"
"2012-09-18"	"31"
"2012-09-19"	"24"
"2012-09-20"	"28"
"2012-09-21"	"25"
"2012-09-22"	"27"
"2012-09-23"	"31"
"2012-09-24"	"42"
"2012-09-25"	"18"
"2012-09-26"	"13"
"2012-09-27"	"23"
"2012-09-28"	"24"
"2012-09-29"	"30"
"2012-09-30"	"37"
"2012-10-01"	"56"
"2012-10-02"	"24"
"2012-10-03"	"35"
"2012-10-04"	"21"
"2012-10-05"	"33"
"2012-10-06"	"32"
"2012-10-07"	"29"
"2012-10-08"	"39"
"2012-10-09"	"23"
"2012-10-10"	"29"
"2012-10-11"	"18"
"2012-10-12"	"22"
"2012-10-13"	"25"
"2012-10-14"	"34"
"2012-10-15"	"30"
"2012-10-16"	"28"
"2012-10-17"	"30"
"2012-10-18"	"24"
"2012-10-19"	"20"
"2012-10-20"	"31"
"2012-10-21"	"36"
"2012-10-22"	"28"
"2012-10-23"	"20"
"2012-10-24"	"20"
"2012-10-25"	"22"
"2012-10-26"	"32"
"2012-10-27"	"22"
"2012-10-28"	"30"
"2012-10-29"	"26"
"2012-10-30"	"23"
"2012-10-31"	"22"
"2012-11-01"	"45"
"2012-11-02"	"26"
"2012-11-03"	"36"
"2012-11-04"	"30"
"2012-11-05"	"26"
"2012-11-06"	"14"
"2012-11-07"	"27"
"2012-11-08"	"17"
